ingredient,risk,function,side_effects
arbutin,Safe,General,No known major side effects
alpha-arbutin,Safe,General,No known major side effects
carnitine,Safe,General,No known major side effects
mannose,Safe,General,No known major side effects
bis-peg-18 methyl ether dimethyl silane,Moderate,Solvent/active,Possible irritation or dryness
peg-11 methyl ether dimethicone,Moderate,Solvent/active,Possible irritation or dryness
isononyl isononanoate,Safe,General,No known major side effects
ethylhexyl isononanoate,Safe,General,No known major side effects
isotridecyl isononanoate,Safe,General,No known major side effects
isodecyl isononanoate,Safe,General,No known major side effects
triisononanoin,Safe,General,No known major side effects
tridecyl isononanoate,Safe,General,No known major side effects
hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer,Safe,General,No known major side effects
carbomer,Safe,General,No known major side effects
sodium carbomer,Safe,General,No known major side effects
potassium carbomer,Safe,General,No known major side effects
peg-40 hydrogenated castor oil,Moderate,Solvent/active,Possible irritation or dryness
peg-60 hydrogenated castor oil,Moderate,Solvent/active,Possible irritation or dryness
peg-6 hydrogenated castor oil,Moderate,Solvent/active,Possible irritation or dryness
peg-2 hydrogenated castor oil,Moderate,Solvent/active,Possible irritation or dryness
peg-50 hydrogenated castor oil isostearate,Moderate,Solvent/active,Possible irritation or dryness
peg-100 hydrogenated castor oil,Moderate,Solvent/active,Possible irritation or dryness
peg-80 hydrogenated castor oil,Moderate,Solvent/active,Possible irritation or dryness
peg-10 hydrogenated castor oil,Moderate,Solvent/active,Possible irritation or dryness
alpha-isomethyl ionone,Safe,General,No known major side effects
laureth-7,Safe,General,No known major side effects
laureth-4,Safe,General,No known major side effects
ppg-14 butyl ether,Safe,General,No known major side effects
ppg-5-ceteth-20,Safe,General,No known major side effects
laureth-23,Safe,General,No known major side effects
ppg-26-buteth-26,Safe,General,No known major side effects
laureth-9,Safe,General,No known major side effects
laureth-12,Safe,General,No known major side effects
sodium laureth-12 sulfate,Safe,General,No known major side effects
ceteth-20,Safe,General,No known major side effects
laureth-3,Safe,General,No known major side effects
caprylyl glycol,Moderate,Solvent/active,Possible irritation or dryness
caprylic/capric triglyceride,Safe,General,No known major side effects
glyceryl caprylate,Safe,General,No known major side effects
caprylyl/capryl glucoside,Safe,General,No known major side effects
propylene glycol dicaprylate/dicaprate,Moderate,Solvent/active,Possible irritation or dryness
capryloyl glycerin/sebacic acid copolymer,Moderate,Solvent/active,Possible irritation or dryness
peg-6 caprylic/capric glycerides,Moderate,Solvent/active,Possible irritation or dryness
butylene glycol dicaprylate/dicaprate,Moderate,Solvent/active,Possible irritation or dryness
neopentyl glycol dicaprylate/dicaprate,Moderate,Solvent/active,Possible irritation or dryness
tricaprylin,Safe,General,No known major side effects
caprylic/capric glycerides,Safe,General,No known major side effects
caprylic/capric/myristic/stearic triglyceride,Safe,General,No known major side effects
ethylhexylglycerin,Safe,General,No known major side effects
adenosine cyclic phosphate,Safe,General,No known major side effects
xanthan gum,Safe,General,No known major side effects
tetrasodium etidronate,Safe,General,No known major side effects
sodium lauryl sulfoacetate,Safe,General,No known major side effects
sodium isethionate,Safe,General,No known major side effects
panthenyl hydroxypropyl steardimonium chloride,Safe,General,No known major side effects
basic violet 16,Safe,General,No known major side effects
linalool,Safe,General,No known major side effects
hydroxycitronellal,Safe,General,No known major side effects
polyquaternium-7,Safe,General,No known major side effects
vanillin,Safe,General,No known major side effects
cetyl acetate,Safe,General,No known major side effects
linalyl acetate,Safe,General,No known major side effects
isostearamidopropyl morpholine lactate,Safe,General,No known major side effects
tetradecyl aminobutyroylvalylaminobutyric urea trifluoroacetate,Safe,General,No known major side effects
homolinalyl acetate,Safe,General,No known major side effects
stearamidopropyl morpholine lactate,Safe,General,No known major side effects
limonene,Safe,General,No known major side effects
titanium dioxide,Safe,General,No known major side effects
titanium/titanium dioxide,Safe,General,No known major side effects
phenyl trimethicone,Safe,General,No known major side effects
trimethylsiloxyphenyl dimethicone,Safe,General,No known major side effects
diphenylsiloxy phenyl trimethicone,Safe,General,No known major side effects
diphenyl dimethicone,Safe,General,No known major side effects
dimethicone/phenyl vinyl dimethicone crosspolymer,Safe,General,No known major side effects
phenylisopropyl dimethicone,Safe,General,No known major side effects
diphenyl dimethicone/vinyl diphenyl dimethicone/silsesquioxane crosspolymer,Safe,General,No known major side effects
behenyl dimethicone,Safe,General,No known major side effects
phenyl dimethicone,Safe,General,No known major side effects
potassium dimethicone peg-7 panthenyl phosphate,Moderate,Solvent/active,Possible irritation or dryness
aminopropyl phenyl trimethicone,Safe,General,No known major side effects
behenyl dimethicone/bis-vinyldimethicone crosspolymer,Safe,General,No known major side effects
glycerin,Safe,General,No known major side effects
phenoxyethanol,Safe,General,No known major side effects
panthenol,Safe,General,No known major side effects
cetyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
talc,Safe,General,No known major side effects
cetyl peg/ppg-10/1 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
butylene glycol,Moderate,Solvent/active,Possible irritation or dryness
isopentyldiol,Safe,General,No known major side effects
polybutylene terephthalate,Safe,General,No known major side effects
butylene glycol cocoate,Moderate,Solvent/active,Possible irritation or dryness
peg/ppg/polybutylene glycol-8/5/3 glycerin,Moderate,Solvent/active,Possible irritation or dryness
polybutylene glycol/ppg-9/1 copolymer,Moderate,Solvent/active,Possible irritation or dryness
butylene glycol laurate,Moderate,Solvent/active,Possible irritation or dryness
butylene glycol behenate,Moderate,Solvent/active,Possible irritation or dryness
pvp,Safe,General,No known major side effects
vp/hexadecene copolymer,Safe,General,No known major side effects
vp/eicosene copolymer,Safe,General,No known major side effects
vp/va copolymer,Safe,General,No known major side effects
hydrolyzed wheat protein/pvp crosspolymer,Safe,General,No known major side effects
vp/dimethylaminoethylmethacrylate copolymer,Safe,General,No known major side effects
vp/dmapa acrylates copolymer,Safe,General,No known major side effects
vp/acrylates/lauryl methacrylate copolymer,Safe,General,No known major side effects
butylated pvp,Safe,General,No known major side effects
vinyl dimethicone/methicone silsesquioxane crosspolymer,Safe,General,No known major side effects
dimethicone/divinyldimethicone/silsesquioxane crosspolymer,Safe,General,No known major side effects
sea salt,Safe,General,No known major side effects
hydrolyzed wheat protein,Safe,General,No known major side effects
dipotassium glycyrrhizate,Safe,General,No known major side effects
disodium cocoamphodiacetate,Safe,General,No known major side effects
calcium carbonate,Safe,General,No known major side effects
stearic acid,Moderate,Solvent/active,Possible irritation or dryness
zinc stearate,Safe,General,No known major side effects
glycol distearate,Moderate,Solvent/active,Possible irritation or dryness
magnesium stearate,Safe,General,No known major side effects
polyhydroxystearic acid,Moderate,Solvent/active,Possible irritation or dryness
glycol stearate,Moderate,Solvent/active,Possible irritation or dryness
isostearic acid,Moderate,Solvent/active,Possible irritation or dryness
ethylhexyl stearate,Safe,General,No known major side effects
polyglyceryl-2 diisostearate,Safe,General,No known major side effects
hydroxystearic acid,Moderate,Solvent/active,Possible irritation or dryness
triisostearin,Safe,General,No known major side effects
chlorphenesin,Safe,General,No known major side effects
triethoxycaprylylsilane,Safe,General,No known major side effects
trimethoxycaprylylsilane,Safe,General,No known major side effects
dimethoxydiphenylsilane/triethoxycaprylylsilane crosspolymer,Safe,General,No known major side effects
sodium phytate,Safe,General,No known major side effects
phytic acid,Moderate,Solvent/active,Possible irritation or dryness
inositol,Safe,General,No known major side effects
glycerophosphoinositol lysine,Safe,General,No known major side effects
lycopene,Safe,General,No known major side effects
glycogen,Safe,General,No known major side effects
magnesium ascorbyl phosphate,Safe,General,No known major side effects
methylparaben,High,Preservative/chemical,Potential hormone disruption or toxicity
ethylparaben,High,Preservative/chemical,Potential hormone disruption or toxicity
butylparaben,High,Preservative/chemical,Potential hormone disruption or toxicity
isobutylparaben,High,Preservative/chemical,Potential hormone disruption or toxicity
isostearoyl hydrolyzed collagen,Safe,General,No known major side effects
ferric chloride,Safe,General,No known major side effects
hydrated silica,Safe,General,No known major side effects
dimethicone,Safe,General,No known major side effects
cocamidopropyl betaine,Safe,General,No known major side effects
resorcinol,Safe,General,No known major side effects
etidronic acid,Moderate,Solvent/active,Possible irritation or dryness
polyquaternium-4,Safe,General,No known major side effects
quaternium-26,Safe,General,No known major side effects
bis-hydroxyethoxypropyl dimethicone,Safe,General,No known major side effects
bis-hydroxyethoxypropyl dimethicone/ipdi copolymer ethylcarbamate,Safe,General,No known major side effects
diisostearyl malate,Safe,General,No known major side effects
isopropyl titanium triisostearate,Safe,General,No known major side effects
polyglyceryl-4 diisostearate/polyhydroxystearate/sebacate,Safe,General,No known major side effects
isostearyl isostearate,Safe,General,No known major side effects
isostearyl neopentanoate,Safe,General,No known major side effects
isostearyl glycolate,Moderate,Solvent/active,Possible irritation or dryness
isostearyl hydroxystearate,Safe,General,No known major side effects
neopentyl glycol diisostearate,Moderate,Solvent/active,Possible irritation or dryness
peg-175 diisostearate,Moderate,Solvent/active,Possible irritation or dryness
hydrogenated polyisobutene,Safe,General,No known major side effects
hydrogenated polybutene,Safe,General,No known major side effects
synthetic wax,Safe,General,No known major side effects
synthetic beeswax,Safe,General,No known major side effects
cetyl esters,Safe,General,No known major side effects
synthetic japan wax,Safe,General,No known major side effects
synthetic candelilla wax,Safe,General,No known major side effects
sucrose tetrastearate triacetate,Safe,General,No known major side effects
butylene/ethylene/styrene copolymer,Safe,General,No known major side effects
butylene/ethylene/propylene copolymer,Safe,General,No known major side effects
hydrogenated butylene/ethylene/styrene copolymer,Safe,General,No known major side effects
ethylene/propylene/styrene copolymer,Safe,General,No known major side effects
hydrogenated ethylene/propylene/styrene copolymer,Safe,General,No known major side effects
astrocaryum murumuru seed butter,Safe,Natural/conditioning,Generally safe
polyglyceryl-4 isostearate,Safe,General,No known major side effects
polyglyceryl-2 triisostearate,Safe,General,No known major side effects
polyglyceryl-2 isostearate,Safe,General,No known major side effects
polyglyceryl-2 tetraisostearate,Safe,General,No known major side effects
polyglyceryl-3 stearate/isostearate/dimer dilinoleate copolymer,Safe,General,No known major side effects
polyglyceryl-10 pentaisostearate,Safe,General,No known major side effects
polyglyceryl-10 decaisostearate,Safe,General,No known major side effects
polyglyceryl-10 diisostearate,Safe,General,No known major side effects
dehydroacetic acid,Moderate,Solvent/active,Possible irritation or dryness
polyglyceryl-2 sesquiisostearate,Safe,General,No known major side effects
pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,Safe,General,No known major side effects
pentaerythrityl tetraethylhexanoate,Safe,General,No known major side effects
dipentaerythrityl hexa c5-9 acid esters,Moderate,Solvent/active,Possible irritation or dryness
dipentaerythrityl hexahydroxystearate,Safe,General,No known major side effects
dipentaerythrityl hexacaprylate/hexacaprate,Safe,General,No known major side effects
pentaerythrityl tetracaprylate/tetracaprate,Safe,General,No known major side effects
pentaerythrityl tetrabehenate,Safe,General,No known major side effects
pentaerythrityl adipate/caprate/caprylate/heptanoate,Safe,General,No known major side effects
pentaerythrityl tetrastearate,Safe,General,No known major side effects
cholesterol,Safe,General,No known major side effects
c10-30 cholesterol/lanosterol esters,Safe,General,No known major side effects
cholesteryl chloride,Safe,General,No known major side effects
cholesteryl isostearate,Safe,General,No known major side effects
cholesteryl oleyl carbonate,Safe,General,No known major side effects
cholesteryl hydroxystearate,Safe,General,No known major side effects
7-dehydrocholesterol,Safe,General,No known major side effects
ergosterol,Safe,General,No known major side effects
chenopodium quinoa seed extract,Safe,Natural/conditioning,Generally safe
lycium chinense fruit extract,Safe,Natural/conditioning,Generally safe
rubus chamaemorus seed extract,Safe,Natural/conditioning,Generally safe
magnesium sulfate,Safe,General,No known major side effects
magnesium laureth sulfate,Safe,General,No known major side effects
magnesium laureth-8 sulfate,Safe,General,No known major side effects
magnesium oleth sulfate,Safe,General,No known major side effects
magnesium lauryl sulfate,Safe,General,No known major side effects
calcium chloride,Safe,General,No known major side effects
sodium hyaluronate,Safe,General,No known major side effects
hydrolyzed hyaluronic acid,Moderate,Solvent/active,Possible irritation or dryness
sodium acetylated hyaluronate,Safe,General,No known major side effects
hydrolyzed sodium hyaluronate,Safe,General,No known major side effects
sodium hyaluronate crosspolymer,Safe,General,No known major side effects
beta-glucan,Safe,General,No known major side effects
yeast beta-glucan,Safe,General,No known major side effects
magnesium carboxymethyl beta-glucan,Safe,General,No known major side effects
manganese sulfate,Safe,General,No known major side effects
zinc coceth sulfate,Safe,General,No known major side effects
ascorbyl glucoside,Safe,General,No known major side effects
magnesium aluminum silicate,Safe,General,No known major side effects
ci 77015,Safe,General,No known major side effects
sodium potassium aluminum silicate,Safe,General,No known major side effects
cocodimonium hydroxypropyl hydrolyzed wheat protein,Safe,General,No known major side effects
dimethicone peg-7 phosphate,Moderate,Solvent/active,Possible irritation or dryness
calcium aluminum borosilicate,Safe,General,No known major side effects
cetearyl ethylhexanoate,Safe,General,No known major side effects
neopentyl glycol diethylhexanoate,Moderate,Solvent/active,Possible irritation or dryness
methyl 2-octynoate,Safe,General,No known major side effects
sorbitan caprylate,Safe,General,No known major side effects
c12-15 alkyl ethylhexanoate,Safe,General,No known major side effects
propylene glycol dicaprylate,Moderate,Solvent/active,Possible irritation or dryness
peg-10 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
peg/ppg-18/18 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
peg-12 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
bis-peg/ppg-14/14 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
lauryl peg/ppg-18/18 methicone,Moderate,Solvent/active,Possible irritation or dryness
peg/ppg-17/18 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
peg/ppg-19/19 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
bis-peg-12 dimethicone beeswax,Moderate,Solvent/active,Possible irritation or dryness
lauryl peg-10 tris(trimethylsiloxy)silylethyl dimethicone,Moderate,Solvent/active,Possible irritation or dryness
peg-10 dimethicone crosspolymer,Moderate,Solvent/active,Possible irritation or dryness
barium sulfate,Safe,General,No known major side effects
caprylyl methicone,Safe,General,No known major side effects
caprylyl trimethicone,Safe,General,No known major side effects
caprylyl dimethicone ethoxy glucoside,Safe,General,No known major side effects
peg/ppg-20/20 phenylisopropyl caprylyl dimethicone,Moderate,Solvent/active,Possible irritation or dryness
polymethyl methacrylate,Safe,General,No known major side effects
glyceryl polymethacrylate,Safe,General,No known major side effects
sodium polymethacrylate,Safe,General,No known major side effects
polyethylmethacrylate,Safe,General,No known major side effects
sorbitan isostearate,Safe,General,No known major side effects
sorbitan stearate,Safe,General,No known major side effects
sorbitan sesquiisostearate,Safe,General,No known major side effects
sorbitan tristearate,Safe,General,No known major side effects
peg-40 sorbitan perisostearate,Moderate,Solvent/active,Possible irritation or dryness
peg-20 sorbitan isostearate,Moderate,Solvent/active,Possible irritation or dryness
peg-4 sorbitan stearate,Moderate,Solvent/active,Possible irritation or dryness
sorbeth-30 tetraisostearate,Safe,General,No known major side effects
peg-6 sorbitan stearate,Moderate,Solvent/active,Possible irritation or dryness
disteardimonium hectorite,Safe,General,No known major side effects
aluminum hydroxide,Safe,General,No known major side effects
aluminum chlorohydrate,Safe,General,No known major side effects
potassium alum,Safe,General,No known major side effects
aluminum sesquichlorohydrate,Safe,General,No known major side effects
ammonium alum,Safe,General,No known major side effects
trimethylsiloxysilicate,Safe,General,No known major side effects
c24-28 alkyldimethylsiloxy trimethylsiloxysilicate,Safe,General,No known major side effects
trimethylsiloxysilicate/dimethiconol crosspolymer,Safe,General,No known major side effects
dimethicone/vinyltrimethylsiloxysilicate crosspolymer,Safe,General,No known major side effects
trimethylsiloxysilicate/dimethicone crosspolymer,Safe,General,No known major side effects
sorbitan olivate,Safe,General,No known major side effects
sorbitan sesquioleate,Safe,General,No known major side effects
sorbitan oleate,Safe,General,No known major side effects
sorbitan oleate decylglucoside crosspolymer,Safe,General,No known major side effects
sorbitan trioleate,Safe,General,No known major side effects
peg-40 sorbitan peroleate,Moderate,Solvent/active,Possible irritation or dryness
sorbeth-30 tetraoleate,Safe,General,No known major side effects
peg-30 sorbitan tetraoleate,Moderate,Solvent/active,Possible irritation or dryness
peg-6 sorbitan oleate,Moderate,Solvent/active,Possible irritation or dryness
propylene carbonate,Safe,General,No known major side effects
propylene glycol dipelargonate,Moderate,Solvent/active,Possible irritation or dryness
oleanolic acid,Moderate,Solvent/active,Possible irritation or dryness
lanolin acid,Moderate,Solvent/active,Possible irritation or dryness
polyquaternium-11,Safe,General,No known major side effects
polyquaternium-51,Safe,General,No known major side effects
polyquaternium-55,Safe,General,No known major side effects
polyquaternium-59,Safe,General,No known major side effects
polyquaternium-53,Safe,General,No known major side effects
polyquaternium-52,Safe,General,No known major side effects
polyquaternium-57,Safe,General,No known major side effects
polyquaternium-12,Safe,General,No known major side effects
aspergillus/rice ferment filtrate,Safe,General,No known major side effects
aspergillus/saccharomyces/rice ferment filtrate,Safe,General,No known major side effects
propylparaben,High,Preservative/chemical,Potential hormone disruption or toxicity
isopropylparaben,High,Preservative/chemical,Potential hormone disruption or toxicity
ultramarines,Safe,General,No known major side effects
dipropylene glycol,Moderate,Solvent/active,Possible irritation or dryness
dipropylene glycol dibenzoate,Moderate,Solvent/active,Possible irritation or dryness
ppg-2 myristyl ether propionate,Safe,General,No known major side effects
ppg-2 methyl ether,Safe,General,No known major side effects
dipropylene glycol caprylate,Moderate,Solvent/active,Possible irritation or dryness
hydrogenated polydecene,Safe,General,No known major side effects
dimethyldibenzylidene sorbitol,Safe,General,No known major side effects
peg-9 polydimethylsiloxyethyl dimethicone,Moderate,Solvent/active,Possible irritation or dryness
lauryl peg-9 polydimethylsiloxyethyl dimethicone,Moderate,Solvent/active,Possible irritation or dryness
tribehenin,Safe,General,No known major side effects
glyceryl behenate,Safe,General,No known major side effects
acrylates/beheneth-25 methacrylate copolymer,Safe,General,No known major side effects
glyceryl dibehenate,Safe,General,No known major side effects
ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer,Safe,General,No known major side effects
beheneth-5,Safe,General,No known major side effects
beheneth-20,Safe,General,No known major side effects
beheneth-10,Safe,General,No known major side effects
beheneth-25,Safe,General,No known major side effects
trehalose,Safe,General,No known major side effects
glycosyl trehalose,Safe,General,No known major side effects
potassium methoxysalicylate,Safe,General,No known major side effects
polyvinyl butyral,Safe,General,No known major side effects
polyvinyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
polyvinylalcohol crosspolymer,Moderate,Solvent/active,Possible irritation or dryness
polyvinyl acetate,Safe,General,No known major side effects
hydroxyethylcellulose,Safe,General,No known major side effects
cetyl hydroxyethylcellulose,Safe,General,No known major side effects
pg-hydroxyethylcellulose cocodimonium chloride,Safe,General,No known major side effects
hydroxyethyl ethylcellulose,Safe,General,No known major side effects
methyl hydroxyethylcellulose,Safe,General,No known major side effects
carboxymethyl hydroxyethylcellulose,Safe,General,No known major side effects
sodium stearoxy pg-hydroxyethylcellulose sulfonate,Safe,General,No known major side effects
disodium edta,Safe,General,No known major side effects
tetrasodium edta,Safe,General,No known major side effects
tetrasodium glutamate diacetate,Safe,General,No known major side effects
trisodium ethylenediamine disuccinate,Safe,General,No known major side effects
trisodium edta,Safe,General,No known major side effects
disodium phosphate,Safe,General,No known major side effects
pentasodium pentetate,Safe,General,No known major side effects
sodium metabisulfite,Safe,General,No known major side effects
disodium cocoamphodipropionate,Safe,General,No known major side effects
cetrimonium bromide,Safe,General,No known major side effects
pentasodium triphosphate,Safe,General,No known major side effects
sodium citrate,Safe,General,No known major side effects
disodium coco-glucoside citrate,Safe,General,No known major side effects
disodium peg-5 laurylcitrate sulfosuccinate,Moderate,Solvent/active,Possible irritation or dryness
2-o-ethyl ascorbic acid,Moderate,Solvent/active,Possible irritation or dryness
sodium hexametaphosphate,Safe,General,No known major side effects
sodium metaphosphate,Safe,General,No known major side effects
peg/ppg-14/7 dimethyl ether,Moderate,Solvent/active,Possible irritation or dryness
peg/ppg-17/4 dimethyl ether,Moderate,Solvent/active,Possible irritation or dryness
rehmannia chinensis root extract,Safe,Natural/conditioning,Generally safe
artemisia princeps leaf extract,Safe,Natural/conditioning,Generally safe
uncaria gambir extract,Safe,Natural/conditioning,Generally safe
pyrola incarnata extract,Safe,Natural/conditioning,Generally safe
hesperidin methyl chalcone,Safe,General,No known major side effects
hesperidin,Safe,General,No known major side effects
glucosyl hesperidin,Safe,General,No known major side effects
neohesperidin dihydrochalcone,Safe,General,No known major side effects
ammonium acryloyldimethyltaurate/steareth-25 methacrylate crosspolymer,Safe,General,No known major side effects
ammonium acryloyldimethyltaurate/carboxyethyl acrylate crosspolymer,Safe,General,No known major side effects
peg-40 sorbitan stearate,Moderate,Solvent/active,Possible irritation or dryness
lauric acid,Moderate,Solvent/active,Possible irritation or dryness
glyceryl laurate,Safe,General,No known major side effects
propylene glycol laurate,Moderate,Solvent/active,Possible irritation or dryness
glyceryl dilaurate,Safe,General,No known major side effects
peg-8 laurate,Moderate,Solvent/active,Possible irritation or dryness
lauramide mea,Safe,General,No known major side effects
lauramide dea,Safe,General,No known major side effects
cetyl laurate,Safe,General,No known major side effects
sodium acryloyldimethyltaurate/methacrylamidolauric acid copolymer,Moderate,Solvent/active,Possible irritation or dryness
isopropyl laurate,Safe,General,No known major side effects
allantoin,Safe,General,No known major side effects
allantoin panthenol,Safe,General,No known major side effects
sodium allantoin pca,Safe,General,No known major side effects
allantoin acetyl methionine,Safe,General,No known major side effects
alcloxa,Safe,General,No known major side effects
allantoin ascorbate,Safe,General,No known major side effects
allantoin glycyrrhetinic acid,Moderate,Solvent/active,Possible irritation or dryness
aldioxa,Safe,General,No known major side effects
peg-40 stearate,Moderate,Solvent/active,Possible irritation or dryness
peg-8 distearate,Moderate,Solvent/active,Possible irritation or dryness
peg-75 stearate,Moderate,Solvent/active,Possible irritation or dryness
peg-8 stearate,Moderate,Solvent/active,Possible irritation or dryness
peg-8 isostearate,Moderate,Solvent/active,Possible irritation or dryness
peg-32 stearate,Moderate,Solvent/active,Possible irritation or dryness
sodium laureth sulfate,Safe,General,No known major side effects
hexylene glycol,Moderate,Solvent/active,Possible irritation or dryness
polyethylene terephthalate,Safe,General,No known major side effects
methyl methacrylate crosspolymer,Safe,General,No known major side effects
peg-8,Moderate,Solvent/active,Possible irritation or dryness
betaine,Safe,General,No known major side effects
coco-betaine,Safe,General,No known major side effects
lauramidopropyl betaine,Safe,General,No known major side effects
lauryl betaine,Safe,General,No known major side effects
cetyl betaine,Safe,General,No known major side effects
ergothioneine,Safe,General,No known major side effects
babassuamidopropyl betaine,Safe,General,No known major side effects
capryl/capramidopropyl betaine,Safe,General,No known major side effects
betaine salicylate,Safe,General,No known major side effects
oleyl betaine,Safe,General,No known major side effects
phaseolus radiatus seed extract,Safe,Natural/conditioning,Generally safe
betula platyphylla japonica bark extract,Safe,Natural/conditioning,Generally safe
cyclohexasiloxane,Safe,General,No known major side effects
cycloheptasiloxane,Safe,General,No known major side effects
ammonium polyacryloyldimethyl taurate,Safe,General,No known major side effects
octyldodecanol,Safe,General,No known major side effects
octyldecanol,Safe,General,No known major side effects
styrene/acrylates/ammonium methacrylate copolymer,Safe,General,No known major side effects
lauryl methacrylate/glycol dimethacrylate crosspolymer,Moderate,Solvent/active,Possible irritation or dryness
ethylene/methacrylate copolymer,Safe,General,No known major side effects
acrylates/stearyl acrylate/dimethicone methacrylate copolymer,Safe,General,No known major side effects
dichlorobenzyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
calcium pantetheine sulfonate,Safe,General,No known major side effects
citronellol,Safe,General,No known major side effects
hydroxycitronellol,Safe,General,No known major side effects
citronellyl methylcrotonate,Safe,General,No known major side effects
citronellal,Safe,General,No known major side effects
citronellyl acetate,Safe,General,No known major side effects
ethyl trimethylcyclopentene butenol,Safe,General,No known major side effects
methyleugenyl peg-8 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
4-methyl-3-decen-5-ol,Safe,General,No known major side effects
methyl eugenol,Safe,General,No known major side effects
geraniol,Safe,General,No known major side effects
pelargonium graveolens oil,Safe,Natural/conditioning,Generally safe
geranyl acetate,Safe,General,No known major side effects
pelargonium graveolens water,Safe,General,No known major side effects
glyceryl diisostearate,Safe,General,No known major side effects
glyceryl diisostearate/hydrogenated rosinate,Safe,General,No known major side effects
hexyl cinnamal,Safe,General,No known major side effects
octocrylene,Safe,General,No known major side effects
cinnamyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
cinnamal,Safe,General,No known major side effects
phenylalanine,Safe,General,No known major side effects
